1830	[Music]
8480	hi guys this is Boston again from coding
11849	this Matt Wacom and today in this new
14639	video tutorial I'd like to talk about
17150	progressive web applications some pwace
20730	and pwace again more and more popularity
25260	at the moment and it's very likely that
28109	you already have been using a PWA
31279	without noticing for example if you take
35219	Twitter comm this is the there's a
40590	website which is already using
42559	progressive web application our
44850	functionality and in this tutorial I
49320	will explain what are the main building
51690	blocks of a progressive web application
53879	and then we will explore how we can take
56460	an existing website and edit those
59160	building blocks to the project and
60960	enhance that website was features of a
64500	progressive web application so first of
67650	all we need a website and to make it
71970	very easy we will just use a template
75720	which is available here at start of
77670	bootstrap calm and start bootstrap calm
81920	offers you a free bootstrap based on
85280	website themes and templates and it's
89520	pretty much okay because we only need a
91259	website where we can apply progressive
94530	web app functionality to and to get that
98579	website we will use here a template
100439	which is called freelancer and this
103950	template is Weibull at start bootstrap
105899	comm slash template - over views -
109200	freelancer of course you are free to use
111630	any other template any other website
114170	this is just an example that we have
116969	something where we can start was and
118950	adding the features we would like to
121560	talk about so to get started here with
124890	the template just hit a download button
128610	here
129789	and it's downloading a zip file here and
132969	now we can extract it to a folder of
135219	your choice and then start working with
138849	project so Kay have already extracted
144159	that zip file and here in that folder a
149069	waa - test - the one and we can take a
155170	look inside you can see all here are the
158680	files of the project and that is there
163840	is our starting point here and I'd like
167260	to run a development web server here so
169750	that the website is hosted here on my
173859	machine and I'm using a live server
178239	which is a web Latin NPM package so if
181540	you have not used last server before you
183909	can install it by executing 10 p.m.
187299	install - G live - server this command
193659	is installing live server globally on
195489	your system
196720	I have already installed live server and
199599	that's the reason why the command live
202000	server is a Weibull and if I execute
204250	live server here within my project
206079	directory hitting return here you can
209049	see it's starting up a web server on my
211930	machine port 8080 and the web site is
215409	running here and you can see that still
217989	the freelancer template it's just one
222310	one site here I have a navigation menu
224859	here I can click on the items and go
229709	here to the different sections on that
235329	page ok so the first building block
240370	which I'd like to add to my application
243780	for progressive web application gives
249280	the web app manifest file of weapon
253030	manifest is a file which is
256459	written in JSON format and is containing
259850	some information about the application
262520	of the name the answer and so on end
268160	what's also included are the icons of
271490	the application because a progressive
273410	web application is an application which
278480	is intended to look and feel like a
283640	native app or like desktop application
286760	so we need an app icon here so that if
290360	you access the page for example on your
293120	mobile device or your tablet you are
296360	able to add to the application to your
299690	home screen
300350	and so that the icon for the application
302570	is on your home screen and that you can
304580	later on click on that item to go back
306770	to the page again so we need as one part
311000	of creating the web app manifest file we
314270	need to add the items to the JSON
317240	structure but first of all of course we
319130	need the icons itself and we will meet
324140	the icons in different sizes so that we
327620	can provide the right sizes for any
333200	platform the user is using and their
338570	entity I can here for our sample
340790	application we can use the file you can
344720	see it here I've already opened up the
346910	project structure here in my favorite
349520	code editor which is atom inside the IMG
353900	folder there is a file which is called
357650	profile dot PNG and that is the arm the
363700	image which is displayed here right on
366340	the start page at the very top and we
370310	will use that image and establish that
373550	image as the app icon and to do that we
376910	need to add it to the web app manifest
379190	file we are going to create and of
381620	course we need to disarm convert that
384740	PNG file to different
387570	and to do that we are using a web-based
392700	service next so the service I'd like to
398100	use is a Weibull at five icon -
404130	generator dark
406520	let's website here you can see it's
410270	presenting a simple form which we need
413430	to fill out first we need to select the
415740	image here and we are selecting the
418350	profile PNG image from our project here
423000	then the first setting we can leave it
429870	the option general items for web Android
432240	Microsoft and iOS apps we would like to
436020	maintain the image dimensions and I'd
438960	like to deactivate the option include
442530	your fav icon dot ICO in the public
447470	general gallery that's not needed and
451680	with that settings here I can then click
455430	on the button create five icon and you
458490	can see it directly takes me to the
460620	result page where it can find a download
464490	link here which contains some zip or
468810	which is pointing to it zip file which
471930	contains my my icons in the various
479430	sizes I do need and what's also included
483630	here in the download section is that
491930	code excerpt here with some HTML
495390	elements which I need to include in my
498920	index dot HTML but first of all let's
504030	download the zip file here ok like so so
509550	now I have downloaded this zip file here
512370	into my IMG folder of my project that's
516840	the file and now I double-click on that
518969	file to
519719	extracted this one can be removed here
523589	and the extracted folder here I'm
527850	renaming that folder to let's say icons
532790	okay like so I can see it here in my
536639	project structure as well and here can
539370	see it's now showing all the PNG files
541769	which have been generated by faff icon
544620	generator to dark and if I click on the
547290	files you can see the different sizes
551399	which are now available here so the next
554220	thing we need to do is to include the
556610	HTML text here from the result page in
560220	our application so let's select that
565009	HTML code here on the website copy it
569639	and then I'm going to index the HTML
574879	okay here we are
576930	and within the head section I'm
581930	including all those elements ok like so
590120	and now you can see we are having link
594059	elements here for our icons and we are
598110	having a link element here for which is
602790	of rel manifest and which is pointing to
607170	a file which is called manifest dot JSON
611180	and that file is a Weibull here and here
616649	you can see that's already a web app
619379	manifest file you can see here that are
622800	adjacent content but so far it's
626040	containing only the name property which
629069	is set to tab and it's containing the
632129	icons property which are set to an array
634980	containing objects and each object
638420	describing one of the icons we have
643230	generated ok in on in the next step we
648870	will further adapt that money
651279	not J's and five-year we will use this
654160	file as our web app manifest file but
659220	beside having the icons included here we
662199	do need some more properties here
667360	describing our application in a total
670269	and that is what we're going to edit the
673269	next step before doing so we need to
675519	adapt the path to our icons a little bit
678879	a little bit first of all we're doing
681720	the adaption here in index dot HTML you
685809	can see it's always pointing to the PNG
688749	file directly but we have decided to put
692170	all that stuff into IMG into the IMG
697470	icons folder so I need to adapt it here
700749	and say I am G slash icons like so and
707160	that is needed here for all the path
711639	strings I have included here in my index
717730	dot HTML file playing like so you can
732490	see it so it's running and the next
735699	thing we need to do - we need to adapt
738009	the path strings here in the
741120	manifest.json file as well I simply need
745149	to remove the leading slash here to make
748029	that pass relative because all those
752649	files are in the same location and the
755740	same folder like the manifest file
757959	itself ok like so so next let's X down
764019	to manifest the dot adjacent have a
766209	little bit first we are going to change
768160	the name here to my PW a test F
777350	and then I'm adding a few more
780800	properties first of all I'm adding a
785420	property which is called short
787430	underscore name and I'm assigning the
792020	string pw8 test here then I'm adding a
798620	property which is called length which
802810	specifies the language of the
805100	application in this case it's er - us
809710	okay then I need to include a property
815410	start underscore URL let's just a slash
823940	it because we would like to set the
828290	start is a root of URL of our
830930	application as a star to RL next I'm
835880	going to specify a background color with
842360	background underscore color and I'm
845240	assigning a string here with a
846920	hexadecimal value which is 2 C 3 e 500k
861310	next scene color which is 1/8 BC 9c I
878290	think and next I'm setting a display
884090	mode which is standalone okay end of
892370	course the icons array here so that
896420	everything we need to set up a basic
899290	manifest.json file which
904899	is delivering all the information we
907149	need okay so we can do a quick check to
910569	see if our manifest.json file is
914279	interpreted correctly and does not
917230	contain any errors here on the web site
920879	in Chrome I can open up the chrome
924189	development tools okay and here on the
933779	let's close it here on the application
939389	tab you can see you do have the menu
942970	item manifest and clicking on manifest
948730	gives you the following view here on the
950980	right side you can see the location of
955029	our manifest.json file here then you can
958629	see the information we have entered name
961209	short name start URL the colors the
965019	display mode and so on so everything is
968759	interpreted correctly and is available
971290	here to our application if I scroll a
973509	little bit down you can see on our icon
976589	definitions included into JSON file and
980769	it's displaying the icons in the
984220	different sizes as you can see here so
987699	the path information is correct all
990639	icons are available and so if you know
995730	if you now would put map with this
998259	application at your mobile device it
1001410	would read in the manifest and then
1003420	request if you would like to add that
1007459	progressive web application as an icon
1010740	to you home screen so after having a
1015929	completed our web app manifest file we
1020040	need to add the second main building
1021809	block of a progressive web application
1023759	and that is a serviceworker so what is a
1027149	serviceworker a serviceworker is a
1029130	JavaScript file basically which is added
1031589	to the project and registered in the
1034829	browser
1035250	all the serviceworker is clipped
1037630	unable to run in the background and
1042039	perform certain tasks so you do not need
1045160	to have the webpage open in the browser
1048339	once it has been requested and it has
1051820	been open in the browser the Service
1053710	Worker is installed and then it's
1055390	running even if you close a web page and
1057429	go to wizard other pages or even if you
1061570	close the browser and so what are the
1065590	typical tasks a service worker can
1067990	perform so you can use a service worker
1071020	for different tasks one task would be
1073480	you can recognize the network state and
1076539	display a special page if no network
1078880	connection is available or for example
1083440	you can add application pages or
1088870	application data to you the browser
1091480	cache when you are online and then when
1094840	the service worker detects it no network
1097360	connection is there you can implement
1101289	the service worker to them fulfill the
1103809	request from the cache so that the user
1106150	sees an offline version of the page but
1109690	no error page he sees actually the page
1112210	record is has been stored in the cache
1114640	before and now is available and can be
