30	yes the good life lets you hide all the
4770	sadness you feel
10250	you own everybody welcome back to my
13730	kitchen cooking your town with Joe today
15799	we are making pizza so I got my flipper
18849	authentic Italian pizza flipper you
21800	don't need one of these but awesome um
23330	and we're going to make pizza margherita
25310	so let me throw my little prop over on
27080	the side Pizza Margherita I thought what
29150	I do with you guys today is show you how
30920	to make it right from start to finish
33230	I'm going to make a homemade dough
34760	homemade dough is always the best
36430	ideally if you're doing a homemade dough
38900	a day is really nice it's really a two
42410	day process because you want the dough
43730	to set for a day in the refrigerator and
46700	what that does is allow the allows the
49100	yeast the enzymes to break down gives
50660	the gives the dough a little bit better
52340	flavor but that's alright if you don't
53570	if now you're going to need about 3-4
55280	hours to let the dough to rise and then
57260	spread it on the sheet so either way is
58670	good so what do I have here as far as
60860	ingredients go so we've got 5 cups of
62930	flour oh we talked about this before any
65330	time you're making um I would say any
67190	bread any dough
68119	you want to use unbleached non enriched
71330	flour organic flour if possible ok so
73460	that's what we have here we have 5 5
75590	cups of flour which is great great we
78140	got 1/2 of a cup of olive oil we've got
80600	one and a half tablespoons of sugar
83510	we've got one tablespoon of salt we have
87830	2 cups of warm water I get a lot of
90920	emails on that when we talk about water
92330	and yeast and so forth you don't want
93619	water cold because it won't activate the
96110	yeast if you have it too hot or hot you
98750	know water we can't stick your hold your
101060	finger under the water it's going to
102710	it's going to kill these so what we want
104390	is essentially warm water we're going to
106460	take two packets of yeast and a little
109280	bit of Italian vino
110900	ok and I'm going to show you why it's
112220	kind of a nice little trick so that
113990	being said we want to activate the yeast
116030	so rule number one anytime you're making
117500	Brad or any type of dough you're going
120229	to activate the yeast what you're going
122090	to do is you're going to put the yeast
123229	in the warm water and and I love that
127610	smell you can smell that you know in
130250	bread
131000	or any type of beer or ain't a book Joe
135650	and then remember yeast life to eat
137959	sugars so in the in the goal there we
140780	want to take our sugar
142220	and we want to mix our sugar right in
143900	the water okay
146200	and you don't want to put salt in there
148820	because it can kill the yeast you don't
150410	want to put alcohol in there right now
151820	because they can kill the yeast you want
153710	to activate the yeast so we got two
156230	packets of yeast we're going to stir it
159020	around you're gonna let it set about
160460	five minutes and what that'll do is
163100	that'll start to activate okay that
164630	being said now we've got our salt and
166910	then five cups of our so 1 tablespoon of
168980	salt with our flour we're going to put
171140	that in there we've got 1/2 of a cup of
173930	olive oil nice good quality olive oil is
177680	what you want we're going to mix that in
179990	there set that off to the side and then
184250	what we're going to do is we're going to
185120	put a quarter cup of white wine now the
187940	reason we want to use a white wine and
190730	alcohol if you will and you'll see that
193460	in some dough's is the alcohol actually
195800	helps break down some of the glutens
197990	what will happen a lot of times when you
199430	work at oh is it builds up those
201380	proteins that we talked about and it
203990	makes the dough harder to work so a nice
207050	little trick you'll see that in some
208489	dough's for example it's it's
210290	traditional to use our Marcella line in
212750	in a cannoli and a cannoli shell dough
215630	the reason being is it makes it a lot
217610	easier to work with you're going to
220040	build up a lot of protein you're going
221480	to build up a lot of gluten so in this
222620	case we're going to use a little bit
223700	alcohol it's a nice little trick and
225950	then what I'll do is it'll allow the
227600	dough to build up the gluten so it will
229970	give you a good foundation but it will
231890	always make it easy you know when you
233360	take pizza dough sometimes you try to
234709	stretch it and it becomes elastic and it
236870	comes back that's the gluten within it
239060	so once it's room temperature if it's
240620	tough to get elastic it's usually
242840	because it's got a lot of gluten
244130	sometimes the dough's gotten tough
245540	you've overworked it this is kind of
247400	that little forgiving so we're going to
248600	use about 1/4 cup of wine maybe a little
252410	bit more but that's okay
253820	you can never put too much wine and I'm
256220	going to set that off to the side and
258850	then we've got this going so you can see
261560	it right now it's starting to foam up
263110	which is perfect so what I'm going to do
267440	is I'm going to mix this up a little bit
270650	and this is just going to make this is
273289	going to make a mess essentially okay
275279	so I've got a flat bottom wooden tool
279149	that I can use to scrape in the bowl
281699	right which makes it kind of fun and
283979	then I always have a baker's knife baker
286739	scraper which are nice you can get a
288659	plastic or what-have-you
289859	all right and I got my yeast going and
292499	you can see it foamy and it's starting
294449	to as I said it's certainly giving me
296519	that traditional cement smell and then
299249	I'm just going to put a little hole in
300359	the bottom so I put a little hole in
301649	there you're going to make kind of like
303059	a well so you put a well in there and
305999	then you just pour the we're two liquid
309029	right in there and that just gets it
312149	inside and then real simple you're going
315209	to start to mix it and as you mix it you
320299	can sing a little low
322799	law you can sing a little Sinatra you
325139	can get flour all over you it usually
328169	takes me two to three minutes into the
330119	mixing process before you get covered
331679	with flour it's almost always well this
333719	dough is going to be a little bit wetter
335719	this one might be a little bit oh that's
338639	beautiful
339229	hey and you're just going to mix it and
344009	just keep mixing and what will happen is
346919	it as it makes that mess see how it's
349259	starting to mix up really nice it's
351659	going to start to form a job so like I
355139	talked a little bit about the gluten
356879	it's actually going to start to form a
359549	foundation like a ball okay and that's a
362999	good thing and you can feel it how it's
365610	kind of warm see that's almost perfect
367799	so what I'm going to do is I'm going to
368999	take my scraper and I'm going to scrape
372119	off my tool I love my baker scrape right
375269	so we're pretty much done with my might
378029	old now I want to empty this out on my
380639	work surface and want to take a little
383429	bit of flour now let's just put that
386189	over the top of the work surface okay
387989	take a little flour that we won't stick
389669	and I'm going to take this and it
391289	doesn't even appear to be that sticky
392639	right now I'm gonna put on I love making
396629	Brad's I love making dough's once you
399599	start to get the knack it becomes a lot
403110	easier they become a lot more fun now I
406619	will tell you on a pizza dough we
409139	got a couple of challenges one we don't
411449	want to mix it too much we don't want to
413340	knead the dough too much because what's
415199	going to start to happen is it's going
417419	to get too tough now this is a little
420509	bit I can tell just by touching it it's
423449	just a little bit of a wet dough so I'm
425789	going to need to add a little bit more
427050	flour that's okay and when I say that
429240	when you touch it you can actually feel
430710	moisture and it almost becomes a little
432719	bit too tacky so let me let me mix it a
436169	little bit and then what you're going to
437939	do after you after you work the dough
439919	and I wouldn't work with more than five
441449	minutes is you're going to you're going
444120	to let the dough rest you constantly
445830	hear that you want to let the dough rest
447750	why because you're building up these
449520	bands of elastin and these bands of
452060	gluten which are very elastic and what
456000	happens is it starts to get tough to
459180	work with secondly we want a nice light
462120	like a Napoleon type of like Napoli
465810	right what's known as your traditional
468509	pizza thin crust pizza okay so that
471389	being said when when you bite into the
473909	the dough or if you will the crust you
476550	want the crust to be crunchy and light
480080	you don't want it to be chewy if you
483839	will so and the other challenge you'll
487050	always have when you're making a pizza
489659	in a house is you know you have to
492089	remember when you go to those wood
493349	burning pizza ovens especially like in
495960	Italy and Napoli and so forth those
497879	ovens are 800 degrees or hot so you know
501569	a traditional home oven 500 degrees by
505139	50 if you're lucky
506689	see that's starting to get nice now so
508830	what's going to happen is you know it's
511319	not going to it's not going to cook
512940	really sharp will crisp if you have to
515039	almost cook it a little bit longer and
517079	what you risk there why it's always
